#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
35,"Suite bergamasque, L. 75: III. Clair de lune","Claude Debussy,Philippe Entremont",12,130,"classical, impressionism, post-romantic era, classical performance, french classical piano","Classical","Debussy: Piano Music",1961-00-00,05:04,43,6,99,88,4,0,0,-22,C♯/D♭ Major,3,-,1EK6FqRcEI9tvfSXDWA7Nn,"Sony Classical",3B,https://p.scdn.co/mp3-preview/aaae752649a1da1e827793882a92a8e9b4f7e5a6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c2b7f3e0e809f3e9cdb602f4
36,"Thank You DubNation! (the page will never be long enough)","herlovebeheadsdaisies",38,131,"new wave of screamo","","carving initials",2023-06-28,03:32,42,60,0,68,29,0,20,-8,A Major,4,-,2qBbhcLbF7Zdgyf1tOGO6A,"herlovebeheadsdaisies",11B,https://p.scdn.co/mp3-preview/97ee56ec0da0b767bfb092e4b2190c843cf0b5e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485198d61c22e459f19d778541fe
37,"i'm going to fail my class","mage tears",51,143,"lo-fi indie","Rock","old songs",2022-01-04,01:03,69,8,99,95,28,0,10,-34,G#/A♭ Major,4,-,5omKvSB7yvJZxHthOzhqRP,"mage tears",4B,,https://i.scdn.co/image/ab67616d00004851c6c3f3ee2f532006d00e5e87
38,"Shadow Man","Noname,Smino,Phoelix,Saba",56,93,"alternative r&b, chicago rap, indie hip hop","R&B, Hip Hop","Telefone",2016-07-31,05:11,65,45,47,0,45,10,10,-7,C Minor,4,-,0EN4QjJqiAufEh6g4xPNvC,"Noname",5A,https://p.scdn.co/mp3-preview/cfd1bc9ce01ea0212cb383b0e6d0ed71a1097d68?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
39,"Bb","Lord Snow",14,84,"emoviolence, skramz","Metal","Solitude",2013-09-19,00:43,41,38,97,96,54,0,20,-15,A#/B♭ Major,4,-,40Uc7r7xb9VB89yzMUDYaW,"Adagio830",6B,https://p.scdn.co/mp3-preview/33102b4f39768eca09ceb474dac8058bd1df3b16?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ed645e7c4efe3a7b53b38a21
40,"Uncover","LOOΠΔ / ODD EYE CIRCLE",46,130,"k-pop girl group","Pop","Max & Match",2017-10-31,03:20,75,76,13,0,42,0,0,-5,C Major,4,-,2oFbMd0TcgUm7Df4Sx16h9,"BlockBerryCreative",8B,https://p.scdn.co/mp3-preview/24193c1c6e54df09ad96b9ec38340a952176aa46?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fb3c690920c69107439c2866
41,"The Mystery","Idaho",35,119,"slowcore","Folk/Acoustic","The Lone Gunman",2005-01-01,02:44,72,14,96,7,15,0,0,-18,G#/A♭ Major,4,-,2EBuCNvouX3vA31lsApRqc,"Idaho Music",4B,https://p.scdn.co/mp3-preview/ee597e951291fd1ac09b370a2e035d027287b6e7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519381f6a46b607bd6b65afae1
42,"Reality Check","Noname,Eryn Allen Kane,Akenya",50,95,"alternative r&b, chicago rap, neo soul, ","R&B, Hip Hop","Telefone",2016-07-31,03:03,72,52,53,0,66,20,10,-10,F#/G♭ Major,4,-,4mWqmihBqG4EBRe86NheY6,"Noname",2B,https://p.scdn.co/mp3-preview/4f42f049c15701ef77d3f1f307e2d03d9265b313?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
43,"Minha","Cartola",54,100,"bossa nova, mpb, samba, samba-enredo, velha guarda","Jazz, Latin","Cartola (1976)",1976-02-06,02:17,63,60,64,29,95,0,0,-12,A Major,4,-,2S4qjll4lYr9qxWZHhnlfv,"Universal Music Ltda.",11B,,https://i.scdn.co/image/ab67616d000048519854c0ddb18055c616154d18
44,"(Quicksilver Daydreams Of) Maria","Townes Van Zandt",40,114,"alternative country, classic texas country, cosmic american, folk, outlaw country, roots rock, singer-songwriter","Country, Folk/Acoustic, Rock","Townes Van Zandt",1969-09,04:45,56,17,86,0,44,0,0,-17,C Major,3,-,2Vd7OCeKGHOEdOCQsxjnCf,"Fat Possum",8B,https://p.scdn.co/mp3-preview/c6adfcced26d65486b8e7e4e4159208e8fcd2208?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
45,"지문 Fingerprint","Ahn Dayoung",18,128,"k-indie","Pop","ANTIHERO",2020-11-20,04:10,54,52,35,0,31,0,20,-7,D Minor,4,-,5Xjj8Wwy6FgIzUJ0vE1Q7h,"ANTIHERO",7A,https://p.scdn.co/mp3-preview/f5f437e8de11d819ed26cc6dc80bcf7934c8e36d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851885c60544a8ea97572dfe703
46,"Bye Bye Baby","Noname",42,83,"alternative r&b, chicago rap","R&B, Hip Hop","Telefone",2016-07-31,02:49,52,38,84,0,52,40,10,-13,F#/G♭ Major,4,-,7yJN1tBOx3XD9zsrAqKDri,"Noname",2B,https://p.scdn.co/mp3-preview/ce3d476a1d9c34a6c81d97b940ad4c3f62778cd0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d684ea63f359ff9a83c10bc8
47,"The Orange Cliffs","Idaho",33,109,"slowcore","Folk/Acoustic","The Lone Gunman",2005-01-01,01:27,72,35,27,93,4,0,10,-14,C Major,4,-,5GtaiFieuigYraCYarAUMa,"Idaho Music",8B,https://p.scdn.co/mp3-preview/9d962e7dcdb71f4a85b09d4428b3a7008dfa8818?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519381f6a46b607bd6b65afae1
48,"Wish I Didn't Miss You","Angie Stone",67,124,"contemporary r&b, neo soul, new jack swing, r&b, urban contemporary","R&B, Hip Hop","Mahogany Soul",2001-10-16,04:30,86,76,36,0,84,0,10,-6,A#/B♭ Major,4,-,3tZm76otWH20xzJC7icHCk,"J Records",6B,https://p.scdn.co/mp3-preview/426cd317745626f2b0f3acd09f32bc986363084e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dee330121693d5b21e7fe4b
49,"Alone Together - Mono","Chet Baker",50,111,"cool jazz, jazz, jazz trumpet, vocal jazz","Jazz","Chet (Mono)",1959-00-00,06:52,43,4,87,31,20,0,0,-18,D Minor,4,-,1F4FRutCMOnvypcDa4JGiW,"Craft Recordings",7A,,https://i.scdn.co/image/ab67616d00004851ab2ef166fbfb1bc661dae429
50,"You And Me","Penny & The Quarters",60,112,"traditional soul","R&B","Penny & the Quarters EP",2011-03-04,02:40,58,18,95,0,26,0,10,-8,F Major,4,-,39FFlqltctkj6vkIcVgkec,"Numero Group",7B,https://p.scdn.co/mp3-preview/fa149a4b4410cb82a6cdcf099e381bcb84c2d73d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485151f481ff4bf28195c34a2487
51,"Aconteceu","Cartola",33,105,"bossa nova, mpb, samba, samba-enredo, velha guarda","Jazz, Latin","Cartola (1976)",1976-02-06,02:47,71,66,72,57,98,0,10,-12,F#/G♭ Minor,4,-,6rk8mEjUWO1F5kfRs5p905,"Universal Music Ltda.",11A,,https://i.scdn.co/image/ab67616d000048519854c0ddb18055c616154d18
52,"homeswitcher","Jane Remover,kmoe",48,150,"dariacore, glitchcore, hyperpop","Pop","Teen Week",2021-02-26,02:25,55,97,2,0,32,30,40,2,D Major,4,-,3wGDs4CbpDqpsTYyN5pe8o,"Jane Remover",10B,https://p.scdn.co/mp3-preview/1c9b8a67e08b1994c142093d5c69d2f9a89a00c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ea7875a842e37164e1f1ab6
53,"Fare Thee Well, Miss Carousel","Townes Van Zandt",48,81,"alternative country, classic texas country, cosmic american, folk, outlaw country, roots rock, singer-songwriter","Country, Folk/Acoustic, Rock","Townes Van Zandt",1969-09,05:22,55,41,70,0,57,0,0,-14,E Major,4,-,71sJjrNiDMM4oGNmgyPgOT,"Fat Possum",12B,https://p.scdn.co/mp3-preview/79d354d21e5782e3eaf754b28b6738b1bfbd2be3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
54,"So Much Water","Tacoma Radar",37,77,"lo-fi indie, scottish indie, slowcore","Rock, Folk/Acoustic","No One Waved Goodbye",2004-01-01,03:33,52,24,34,81,35,0,0,-15,G Major,4,-,0J5jztzHjt08li8Lurpi2j,"Andmoresound",9B,https://p.scdn.co/mp3-preview/a5664322179a9d58efccfdc67e04c003f499993f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f219fee2ec9e49c0c26d5a4
55,"Cordas De Aço","Cartola",46,105,"bossa nova, mpb, samba, samba-enredo, velha guarda","Jazz, Latin","Cartola (1976)",1976-02-06,02:15,69,39,59,54,77,0,10,-11,A#/B♭ Major,4,-,6LUqNFHw6te0DUubiou0zI,"Universal Music Ltda.",6B,,https://i.scdn.co/image/ab67616d000048519854c0ddb18055c616154d18
56,"XI","Youth Novel",27,87,"emoviolence, skramz","Metal","Youth Novel",2021-02-14,01:20,39,56,1,99,21,0,10,-9,E Minor,1,-,0Tz4lVMYF4KviHkTH9XvI5,"Diaryland Records",9A,https://p.scdn.co/mp3-preview/b8e805e2f5880efff13f6af784604ac51eeb5cf1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5aa1ee4c4105349372356e2
57,"Colorado Girl","Townes Van Zandt",44,171,"alternative country, classic texas country, cosmic american, folk, outlaw country, roots rock, singer-songwriter","Country, Folk/Acoustic, Rock","Townes Van Zandt",1969-09,03:18,41,8,91,0,52,0,10,-20,A Major,4,-,4e3DoE0H8nogusqa2OsrPw,"Fat Possum",11B,https://p.scdn.co/mp3-preview/9dc5531f2dd384ba0867d30c9766cf91c0667251?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c883be3287c02f857e91c06
58,"Fallen","Mýa",53,94,"contemporary r&b, hip pop, r&b, urban contemporary","R&B, Pop, Hip Hop","Moodring",2003-01-01,03:34,67,61,12,0,43,0,50,-8,C♯/D♭ Major,4,-,75pAfYEpRXZf7GVORGhOgz,"A&M",3B,,https://i.scdn.co/image/ab67616d00004851aa5c5e6e91f8338b4273b1a0
59,"Corra E Olhe O Céu","Cartola",55,80,"bossa nova, mpb, samba, samba-enredo, velha guarda","Jazz, Latin","Cartola (1974)",1974-08-16,03:21,57,59,63,0,86,0,10,-9,D Major,4,-,3OXisGgmJnXaOZqnWkfljQ,"Universal Music Ltda.",10B,,https://i.scdn.co/image/ab67616d00004851d268ed273ecb218724d32c45
60,"Knees","Controlled Bleeding",8,134,"ambient industrial, dub metal, industrial, industrial rock, noise, power electronics","New age, Metal, Rock","Knees & Bones",2016-08-12,23:09,27,92,1,75,3,20,20,-9,G#/A♭ Minor,3,-,05fhYZMWn4t4oKTqAAUZtq,"Artoffact Records",1A,https://p.scdn.co/mp3-preview/eb9b2f236e91cf49d60397abc8dda50b980aa35b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485152c1eecb6795feef42788e9b
